aid,1,2,3,4,5
a1962_004,a1961_004,a1962_010,a2002_026,a2003_012,a1961_032
a1962_007,a1962_003,a1962_050,a1963_054,a1959_033,a1966_003
a1962_008,a2003_012,a1999_009,a1999_045,a1999_046,a2001_005
a1962_009,a1961_011,a1960_015,a1961_032,a1962_010,a1962_013
a1962_010,a1961_032,a2002_026,a2003_012,a1999_046,a1960_015
a1962_011,a1964_005,a1994_001,a1962_023,a1962_004,a1960_017
a1962_013,a1961_032,a1962_010,a1960_011,a2002_026,a1960_015
a1962_014,a1965_021,a1980_005,a1964_031,a1985_017,a2003_008
a1962_023,a1962_011,a1960_012,a1960_023,a1963_005,a1960_024
a1962_047,a1962_002,a1960_025,a1961_049,a1960_011,a1960_064
a1962_049,a1959_006,a1959_002,a1989_013,a1963_003,a1963_004
a1962_050,a1975_007,a2002_013,a1966_003,a2001_006,a1999_04
a1962_056,a1960_015,a2003_013,a1961_032,a1961_049,a1962_001
a1962_057,a1960_063,a1962_013,a1961_032,a1960_022,a1961_011
a1962_066,a1961_025,a1960_020,a1960_064,a1960_025,a1960_014
a1963_001,a1960_008,a1965_006,a1965_010,a1965_003,a1974_002
a1963_002,a1975_009,a1966_008,a1975_005,a1965_027,a2002_002
a1963_003,a1963_004,a1985_003,a1989_003,a1988_004,a1989_010
a1963_004,a1964_012,a1990_001,a1984_003,a1985_012,a1980_016
a1963_005,a1960_022,a1962_011,a1960_023,a1965_023,a1961_033
a1963_006,a1977_011,a1966_007,a1977_013,a1964_011,a1966_003
a1963_008,a1998_009,a1995_017,a1980_005,a1998_013,a1964_002
a1963_009,a1964_031,a1977_012,a2003_008,a1967_017,a1975_006
a1963_054,a1960_018,a1965_007,a1960_103,a1962_050,a1983_007
a1964_001,a1964_004,a1965_011,a1975_002,a1966_004,a1975_004
a1964_002,a1998_009,a1990_007,a1975_003,a1995_017,a1958_006
a1964_003,a2002_007,a1999_030,a2000_006,a2001_032,a1992_004
a1964_004,a1964_001,a1966_004,a1965_011,a1975_004,a1975_002
a1964_005,a1962_011,a1994_001,a1960_008,a1961_033,a1977_007
a1964_006,a2001_015,a1964_001,a1977_013,a2003_006,a1965_011
a1964_007,a1975_003,a1998_001,a1974_008,a1998_003,a1975_011
a1964_008,a1964_014,a1965_011,a1964_053,a2001_009,a1964_001
a1964_011,a1966_007,a2001_015,a2003_006,a1964_006,a1977_013
a1964_012,a1980_016,a1995_009,a1964_013,a1981_001,a1985_020
a1964_013,a1967_001,a1990_003,a1967_021,a1980_015,a1980_013
a1964_014,a1964_053,a1966_008,a1964_008,a1965_011,a2001_009
a1964_015,a1985_021,a1980_004,a2000_005,a1998_007,a1996_010
a1964_027,a1998_010,a1964_002,a1998_009,a1974_008,a1990_007
a1964_031,a1963_009,a1967_017,a1980_005,a2003_008,a1998_009
a1964_053,a1964_014,a1966_008,a2001_009,a1965_011,a1964_008
a1964_054,a2001_034,a1983_001,a1965_003,a1985_016,a1983_003
a1965_001,a1964_015,a1958_012,a1958_001,a1998_001,a1998_007
a1965_002,a1965_004,a1977_002,a1984_012,a1967_003,a1980_014
a1965_003,a1964_054,a1965_010,a1983_003,a1965_004,a1965_006
a1965_004,a1965_002,a1984_012,a1977_002,a1965_012,a1983_003
a1965_005,a2003_006,a1964_006,a1977_013,a2001_015,a1964_001
a1965_006,a1965_010,a1965_003,a1983_006,a1964_054,a1983_007
a1965_007,a1960_018,a1983_001,a1965_010,a2002_013,a1965_006
a1965_008,a1965_001,a1964_015,a1984_011,a1994_003,a1980_015
a1965_009,a2001_003,a1999_04,a1975_007,a2001_006,a2002_013
a1965_010,a1965_006,a1965_003,a1964_054,a1983_006,a1983_003
a1965_011,a1964_001,a1975_002,a1964_053,a1964_014,a1964_008
a1965_012,a1965_004,a1984_012,a1977_008,a1983_006,a1985_012
a1965_021,a1980_005,a1985_017,a2001_021,a1977_005,a1964_031
a1965_023,a1960_008,a1977_007,a1966_006,a1977_004,a1974_002
a1965_027,a1975_009,a1975_005,a1975_001,a1997_015,a1996_016
a1966_002,a1967_008,a1981_012,a1981_002,a2000_001,a1980_008
a1966_003,a1975_007,a2002_013,a2001_006,a2000_013,a1999_002
a1966_004,a1964_004,a1964_001,a2001_009,a1964_053,a1965_011
a1966_005,a2001_031,a1980_021,a2000_001,a1999_043,a1980_001
a1966_006,a1977_007,a1965_023,a1961_033,a1989_002,a1960_008
a1966_007,a1964_011,a2001_015,a2003_006,a1977_013,a1977_011
a1966_008,a1974_009,a2001_009,a1967_005,a1965_027,a2002_002
a1966_009,a1998_001,a1966_034,a1975_003,a1974_008,a1975_011
a1966_010,a1990_003,a1980_015,a1964_013,a1990_002,a1980_004
a1966_034,a1958_001,a1975_012,a1966_009,a1975_011,a1967_005
a1967_001,a1964_013,a1967_021,a1990_003,a2001_019,a1980_015
a1967_002,a2003_017,a1985_024,a1993_002,a2002_006,a1967_011
a1967_003,a1985_023,a1977_009,a1985_012,a1965_002,a1977_010
a1967_004,a1999_038,a2001_032,a2001_030,a1999_043,a1980_011
a1967_005,a1975_011,a1975_012,a1998_007,a1966_034,a1998_003
a1967_006,a1975_013,a1975_003,a1975_012,a1990_007,a1998_003
a1967_007,a1991_005,a1989_012,a1960_001,a1985_014,a1991_002
a1967_008,a1966_002,a2000_001,a1981_012,a1998_016,a1981_004
a1967_009,a1982_005,a1985_005,a1989_011,a1980_009,a1981_003
a1967_010,a1989_012,a1967_009,a1985_005,a1967_002,a1989_011
a1967_011,a1967_002,a1985_024,a1967_021,a1967_001,a1987_005
a1967_017,a1998_009,a1980_005,a1998_010,a1975_013,a1975_008
a1967_021,a1967_001,a2001_019,a1964_013,a1981_022,a1990_003
a1974_001,a2002_007,a1964_003,a1999_030,a2000_006,a2001_032
a1974_002,a1977_003,a1977_008,a1988_018,a1985_003,a1977_002
a1974_003,a2003_006,a1964_006,a2001_015,a1964_001,a1974_007
a1974_004,a1974_008,a1975_003,a1990_007,a1998_003,a1967_006
a1974_005,a1958_005,a1981_006,a1965_027,a1981_005,a2002_003
a1974_006,a1990_010,a1993_002,a1991_003,a1988_014,a1991_002
a1974_007,a1975_004,a1964_001,a1975_002,a1964_006,a1965_011
a1974_008,a1975_003,a1990_007,a1998_003,a1998_001,a1974_004
a1974_009,a1975_010,a1966_008,a2002_002,a1975_012,a1975_011
a1974_010,a1993_003,a1980_016,a1995_009,a1981_001,a1985_024
a1975_001,a1959_003,a1964_003,a1999_030,a1975_005,a2000_006
a1975_002,a1975_004,a1967_006,a1965_011,a1964_001,a1975_013
a1975_003,a1990_007,a1998_003,a1998_001,a1998_011,a1974_008
a1975_004,a1975_002,a1974_009,a1965_011,a2001_009,a1967_006
a1975_005,a1975_001,a1965_027,a1975_009,a1955_007,a1996_016
a1975_006,a1967_017,a1998_009,a1975_008,a1964_031,a1975_013
a1975_007,a2002_013,a1966_003,a1999_04,a1999_002,a2001_006
a1975_008,a1967_006,a1967_017,a1975_013,a1998_009,a1990_007
a1975_009,a1965_027,a1975_001,a1975_005,a2002_003,a1955_007
a1975_010,a1975_012,a1974_009,a1975_011,a1967_005,a1974_008
a1975_011,a1975_012,a1975_003,a1974_008,a1967_005,a1998_003
a1975_012,a1975_011,a1974_008,a1975_003,a1998_003,a1967_006
a1975_013,a1967_006,a1967_017,a1975_003,a1975_008,a1990_007
a1977_001,a1980_016,a1977_009,a1977_071,a1993_003,a1985_012
a1977_002,a1965_002,a1965_004,a1984_012,a1994_002,a1967_003
a1977_003,a1977_008,a1977_009,a1977_010,a1991_005,a1967_003
a1977_004,a1974_002,a1977_008,a1960_065,a1988_018,a1989_010
